,Train Data,Test Data
XGBoost,0.971185607,"0.9599409656335652,"
RandomForest,"0.9645442406353222,","  0.9609424414927261,"
AdaBoost,"  0.9632300231920725,","  0.9586654016445288,"
KNN,"  0.9557558507273878,","  0.9574636306135358,"
SVM,0.978051866,0.957305503
